no,kod_masco,tajuk_pekerjaan
61,1113,Ketua Adat Dan Ketua Kampung
62,1113-01,Penghulu Gred NP29
63,1113-04,Ketua Kampung
64,1113-16,Orang Besar Berempat
65,1114,Pegawai Kanan Pertubuhan Berkepentingan Khas
66,1114-01,Presiden Parti Politik
67,1114-02,Presiden Persekutuan Majikan-Majikan
68,1114-04,Presiden Kongres Kesatuan Pekerja-Pekerja di dalam Perkhidmatan Awam
69,1114-12,Pegawai Kanan Organisasi Berkepentingan Khas
70,112,Pengarah Urusan Dan Ketua Eksekutif
71,1121,Pengarah Urusan Dan Ketua Eksekutif
72,1121-01,Ketua Pegawai Eksekutif (CEO)
73,1121-02,Ketua Pegawai Operasi
74,1121-03,Ketua Pegawai Perundangan
75,1121-04,Ketua Pegawai Teknikal
76,1121-05,Pengarah Eksekutif
77,1121-07,Timbalan Pengarah Eksekutif
78,1121-09,Pengarah Perusahaan
79,1121-10,Pengerusi Perusahaan
80,1121-11,Pengurus Lapangan Terbang
81,1121-12,Pengurus Pelabuhan
82,1121-13,Pengurus Penyiaran Radio dan Televisyen
83,1121-23,Pengurus Besar
84,1121-29,Pengurus Gred P2
85,1121-30,Pengurus Kanan Gred P1
86,1121-31,Penolong Pengurus Gred P3
87,12,Pengurus Pentadbiran Dan Komersil
88,121,Pengurus Perkhidmatan Perniagaan Dan Pentadbiran
89,1211,Pengurus Kewangan
90,1211-03,Pengurus Akaun
91,1211-04,Pengurus Bajet
92,1211-05,Pengurus Audit
93,1211-06,Pengurus Audit dan Pengurusan Risiko
94,1211-07,Pengurus Kredit
95,1211-08,Pengurus Insurans
96,1211-09,Pengurus Dana
97,1211-10,Pengurus Perbendaharaan
98,1211-12,Pengurus Perbelanjaan
99,1211-14,Pengurus Cukai
100,1211-15,Pengurus Tuntutan
101,1211-19,Pengurus Risiko
102,1211-23,Pengurus Penilaian Aktuari
103,1211-24,Pengurus Pembidaan
104,1211-27,Pengurus Harga Pindahan
105,1211-28,Ketua Pengurusan Penajajaminan dan Portfolio
106,1212,Pengurus Sumber Manusia
107,1212-01,Ketua Pegawai Sumber Manusia
108,1212-02,Pengurus Sumber Manusia
109,1212-05,Pengurus Kesihatan dan Keselamatan Pekerjaan
110,1213,Pengurus Dasar Dan Perancangan
111,1213-01,Pengurus Dasar dan Perancangan
112,1213-03,Pengurus Perancangan Korporat
113,1213-07,Pengurus Program
114,1214,Pengurus Perkhidmatan Perniagaan
115,1214-01,Ketua Pegawai Pematuhan
116,1214-07,Pengurus Pembangunan Perniagaan
117,1214-08,Pengurus Pematuhan
118,1214-09,Pengurus Fesyen dan Pakaian
119,1214-10,Pengurus Pematuhan Halal
120,1214-11,Pengurus Rantaian Bekalan
121,1214-12,Pengurus Pembangunan Perniagaan dan Produk
122,1214-13,Pengurus Kemampanan
123,1214-14,Pengurus Projek
124,1214-16,Pengurus Teknologi
125,1214-17,Ketua Pegawai Perniagaan
126,1215,Pengurus Pentadbiran
127,1215-01,Pengurus Pentadbiran
128,1215-04,Pengurus Prasarana
129,1215-06,Ketua Komunikasi Korporat
130,1215-08,Ketua Pentadbir Perniagaan
131,1215-09,Pengurus Pejabat Maya
132,1216,Pengurus Kualiti
133,1216-01,Pengurus Kawalan Kualiti
134,1216-03,"Pengurus Jaminan Kualiti, Pengilangan Makanan Halal"
135,1219,Pengurus Perkhidmatan Perniagaan Dan Pentadbiran Yang Tidak Dikelaskan Di Mana-Mana
136,122,"Pengurus Jualan, Pemasaran, Dan Pembangunan"
137,1221,Pengurus Jualan Dan Pemasaran
138,1221-01,Ketua Pegawai Pemasaran
139,1221-02,Pengurus Jualan
140,1221-04,Pengurus Pemasaran
141,1221-07,Pengurus Produk
142,1221-08,Pengurus Jenama
143,1221-10,Pengurus Pusat Beli-Belah
144,1221-11,Pengurus Runcit
145,1221-14,Pengurus Cawangan
146,1221-19,Pengurus Pemasaran dan Pengoptimuman Enjin Carian (SEO)
147,1221-20,Pengurus Pelesenan
148,1222,Pengurus Pengiklanan Dan Perhubungan Awam
149,1222-01,Pengurus Pengiklanan
150,1222-02,Pengurus Hal Ehwal Am
151,1222-05,Pengurus Pameran
152,1222-06,Pengurus Khidmat Pelanggan
153,1222-13,Pengurus Media Sosial
154,1222-14,Pengurus Pelancongan
155,1222-15,Pengurus Majlis
156,1222-16,Pengurus Tinjauan Soal Selidik
157,1223,Pengurus Penyelidikan Dan Pembangunan
158,1223-01,Pengurus Penyelidikan dan Pembangunan
159,1223-04,"Pengurus Penyelidikan dan Pembangunan, Pengilangan Makanan Halal"
160,1223-05,"Pengurus Penyelidikan dan Pembangunan, Industri Halal"
161,13,Pengurus Pengeluaran Dan Pembuatan
162,131,Pengurus Pengeluaran
163,1311,"Pengurus Pengeluaran Pertanian, Perhutanan, Dan Penternakan"
164,1311-01,Pengurus Taman/Ladang Gred G41
165,1311-02,Pengurus Perhutanan
166,1311-03,Pengurus Ladang
167,1311-04,Pengurus Hortikultur
168,1311-06,Pengurus Pertanian
169,1311-08,Pengurus Penternakan
170,1311-11,Pengurus Veterinar
171,1311-13,Pengurus Pengeluaran Ternakan Halal
172,1311-14,"Pengurus Padang, Rumput"
173,1311-15,Pengurus Penetasan
174,1312,Pengurus Pengeluaran Akuakultur Dan Perikanan
175,1312-02,Pengurus Pengeluaran dan Operasi Perikanan
176,1312-03,Pengurus Operasi Akuakultur
177,132,"Pengurus Pembuatan, Perlombongan, Pembinaan, Dan Pengagihan"
178,1321,Pengurus Pembuatan
179,1321-01,Pengurus Pembuatan
180,1321-04,Pengurus Elektrik
181,1321-05,Pengurus Tenaga
182,1321-07,"Pengurus Pengeluaran, Pemprosesan Makanan"
183,1321-08,Pengurus Pembuatan Badan Kapal
184,1321-09,Pengurus Mekanikal
185,1321-10,Pengurus Kimpalan
186,1321-11,Pengurus Kilang Minyak
187,1321-12,"Pengurus, Pengilangan Makanan Halal"
188,1321-13,"Pengurus Pengeluaran, Pemprosesan Daging Halal"
189,1321-14,Pengurus Penyelenggaraan
190,1321-15,Pengurus Loji Penjanaan Tenaga Biomas (BEGP)
191,1321-16,Penolong Pengurus Loji Penjanaan Tenaga Biomas (BEGP)
192,1321-18,Pengurus Loji Tapak Pelupusan Gas
193,1321-20,Pengurus Loji Anaerobic Digester Biogas
194,1321-21,Pengurus Pengeluaran Fotovoltan
195,1321-26,Pengurus Loji Penjanaan Kuasa
196,1321-28,Pengurus Pengeluaran Kimia
197,1321-33,Pengurus Reka bentuk
198,1321-36,Ketua Rawatan Panas (Logam)
199,1321-37,Pengurus Stor
200,1322,Pengurus Perlombongan
201,1322-01,"Pengurus Pengeluaran dan Operasi, Perlombongan"
202,1322-03,"Pengurus Pengeluaran dan Operasi, Pengekstrakan Minyak dan Gas"
203,1322-07,Pengurus Pemasangan Luar Pesisir
204,1322-09,Pengawal Pengeluaran Perlombongan
205,1322-10,Pengurus Kaji Logam
206,1322-11,Pengurus Pemasangan Luar Pesisir: Minyak atau Gas
207,1323,Pengurus Pembinaan
208,1323-01,Pengurus Pembinaan
209,1323-03,Pengurus Kontrak Pembinaan
210,1323-10,Pengurus Senibina dan Bangunan
211,1323-11,Pengurus Ukur Tanah
212,1323-12,Pengarah Kejuruteraan Pembinaan
213,1323-13,Pengurus Kejuruteraan Pembinaan
214,1323-14,Pengurus Penyelenggaraan Kemudahan Bangunan Hijau
215,1323-15,Penolong Pengurus Penyelenggaraan Kemudahan Bangunan Hijau
216,1323-16,Pengurus Perobohan Bangunan
217,1323-17,Penolong Pengurus Perobohan Bangunan
218,1323-18,Pembangun Bangunan Hijau
219,1323-19,Pengurus Ukur Bahan
220,1323-20,Kontraktor Pembinaan
221,1323-21,Ketua Arkitek
222,1324,"Pengurus Bekalan, Pengagihan, Dan Yang Berkaitan"
223,1324-01,Ketua Stesen Kereta api
224,1324-02,Pengurus Pengangkutan
225,1324-03,Pengurus Bekalan
226,1324-04,Pengurus Gudang
227,1324-05,Pengurus Logistik
228,1324-06,Pengurus Pembelian
229,1324-07,"Pengurus Pengeluaran dan Operasi, Pengangkutan"
230,1324-14,Pengurus Perkapalan
231,1324-16,Pengurus Operasi Logistik Halal
232,1324-18,Penolong Pengurus Kawalan Bahan
233,1324-23,Pengurus Pembelian Pemprosesan Daging Halal
234,1324-24,Pengurus Kenderan Udara Tanpa Pemandu (UAV)
235,14,"Pengurus Hospitaliti, Runcit, Dan Perkhidmatan Lain"
236,141,Pengurus Hotel Dan Restoran
237,1411,Pengurus Hotel Dan Rumah Penginapan
238,1411-02,Pengurus Asrama Gred N41
239,1411-05,"Pengurus Pengeluaran dan Operasi, Hotel"
240,1411-07,Pengurus Rumah Tamu
241,1411-08,Pengurus Rumah Tumpangan
242,1411-09,Pengurus Kaunter Depan
243,1411-10,Pengurus Kaunter Pejabat
244,1411-11,Pengurus Perkhidmatan Makanan dan Minuman
245,1411-12,Pengurus Resort
246,1411-13,Pengurus Penginapan
247,1411-14,Pengurus Pengendalian Makanan
248,1411-15,Pengurus Acara Hotel
249,1412,Pengurus Restoran
250,1412-01,Pengurus Restoran
251,1412-02,Pengurus Bar
252,1412-03,Pengurus Kafe
253,1412-04,Pengurus Kantin
254,1412-05,"Pengurus Kafe, Bar dan Snack-Bar"
255,1412-06,Pengurus Katering
256,1412-10,Pengurus Bilik Jamuan
257,1412-15,Pengurus Jurumasak
258,142,Pengurus Perdagangan Runcit Dan Borong
259,1421,Pengurus Perdagangan Runcit Dan Borong
260,1421-07,Pengurus Jualan Eksport
261,1421-11,Peraih
262,1421-12,Peruncit
263,1421-13,"Pengurus Pengeluaran dan Operasi, Perdagangan Runcit (Kedai)"
264,1421-14,"Pengurus Pengeluaran dan Operasi, Perdagangan Runcit (Pasar Raya)"
265,1421-15,Pengurus Import-Eksport
266,15,Pengurus Teknologi Maklumat Dan Komunikasi
267,151,Pengurus Teknologi Maklumat Dan Komunikasi
268,1511,Pengurus Teknologi Maklumat Dan Komunikasi
269,1511-01,Ketua Pegawai Maklumat
270,1511-02,Ketua Pegawai Data
271,1511-03,Ketua Pegawai Keselamatan Maklumat
272,1511-05,Ketua Arkitek Teknologi Maklumat
273,1511-06,Pengurus Sistem Maklumat
274,1511-08,Pengurus Pusat Komuniti Desa (Teknologi Maklumat)
275,1511-10,Pengurus Perkhidmatan Komputer
276,1511-11,Pengurus Pemprosesan Data
277,1511-12,Pengurus Pembangunan Aplikasi
278,1511-13,Pengurus Operasi Data
279,1511-14,Pengurus Pembangunan Teknologi Maklumat dan Komunikasi (ICT)
280,1511-16,Penyedia Perkhidmatan Internet
281,1511-17,Pengurus Rangkaian
282,1511-18,Pengarah Animasi
283,1511-19,Pengurus Audio Visual
284,1511-20,Pengurus Pangkalan Data
285,1511-21,Pengurus Keselamatan Komputer
286,1511-22,Pengurus Projek Teknologi Maklumat
287,1511-24,Pengurus Program Teknologi Maklumat
288,1511-27,Pengurus Bioinformatik
289,1511-28,Pengurus Kreatif Multimedia
290,1511-29,Pengurus Prestasi Rangkaian
291,1511-30,Pengurus Operasi Rangkaian
292,1511-31,Pengurus Pelaksanaan Rangkaian
293,1511-32,Pengurus Pembangunan Perniagaan Teknologi Maklumat
294,1511-33,Pengurus Transformasi Teknologi (IT)
295,1511-34,Pengurus Sokongan Teknologi Maklumat
296,1511-35,Pengurus Pembangunan Perisian
297,1511-36,Pengurus Pembangunan Aplikasi E-Dagang
298,1511-37,Pengurus Tadbir Teknologi Maklumat
299,1511-38,Pengurus Pemodelan Maklumat Bangunan (BIM)
300,1511-40,Pengarah Keselamatan Siber
301,1511-42,Pengurus Solution Architect
302,1511-43,Pengurus Software Architect
303,1511-44,Pengurus Data Analisis
304,1511-45,Ketua Seksyen Analisis Kegagalan (Sistem)
305,1511-46,Pengurus Kandungan (ICT)
306,1511-47,Pengurus Data
307,1511-48,Pengurus Sistem Maklumat Pengurusan
308,16,Pengurus Perkhidmatan
309,161,Pengurus Perkhidmatan Professional
310,1611,Pengurus Perkhidmatan Penjagaan Kanak-Kanak
311,1611-01,Pengurus Pusat Asuhan Kanak-Kanak
312,1612,Pengurus Perkhidmatan Kesihatan
313,1612-02,Pengarah Jururawat
314,1612-10,Pengurus Fitonutrien
315,1612-11,Pendidik Kesihatan
316,1612-14,Pentadbir Kemudahan Kesihatan
317,1612-16,"Matron, hospital"
318,1612-17,Ketua Pegawai Klinikal
319,1612-18,Ketua Pegawai Kesihatan Awam
320,1612-19,Pengurus Farmasi
321,1613,Pengurus Perkhidmatan Penjagaan Orang Tua
322,1613-06,Pengurus Pusat Penjagaan Orang Tua
323,1614,Pengurus Kebajikan Sosial
324,1614-01,Pengurus Kerja Sosial
325,1614-03,Pengurus Pusat Komuniti
326,1614-05,Pengurus Khidmat Keluarga
327,1615,Pengurus Pendidikan
328,1615-01,Pengurus Pendidikan
329,1615-02,Canselor
330,1615-03,Pengetua
331,1615-04,Guru Besar
332,1615-06,Dekan
333,1616,Pengurus Cawangan Perkhidmatan Kewangan Dan Insurans
334,1616-01,Pengurus Cawangan Kewangan dan Insurans
335,1616-04,Pengurus Bank
336,1616-05,Pengurus Kesatuan Kredit
337,1616-06,Pengurus Agensi Insurans
338,1617,Pengurus Perundangan
339,1617-01,Pengurus Perundangan dan Pengurusan Risiko
340,1618,Pengurus Harta
341,1618-01,Pengurus Penyelenggaraan Harta
342,1619,Pengurus Perkhidmatan Profesional Yang Tidak Dikelaskan Di Mana-Mana
343,1619-01,Pengurus Agensi Pentafsiran
344,162,Pengurus Perkhidmatan Lain
345,1621,Pengurus Pusat Sukan Dan Rekreasi
346,1621-01,Pengurus Aktiviti Sukan
347,1621-02,Pengurus Rekreasi
348,1621-03,Pengurus Agensi Pelancongan
349,1621-04,Pengurus Taman
350,1621-07,Pengurus Kasino
351,1621-08,Pengurus Kelab
352,1621-09,Pengurus Litar Lumba Kuda
353,1621-10,Pengurus Medan Karavan
354,1621-16,Pengurus Tapak Perkhemahan
355,1621-17,"Pengurus Pengeluaran dan Operasi, Pentas"
356,1621-18,Pengurus Lumba Kereta
357,1621-19,Pengurus E-Sukan
358,1622,"Pengurus Perkhidmatan Penjagaan Diri, Pembersihan, Dan Yang Berkaitan"
359,1622-01,Pengurus Perkhidmatan Penjagaan Diri
360,1622-04,Pengurus Pelupusan Sampah
361,1622-05,"Pengurus Pendobian, Pencucian Kering dan Penseterikaan"
362,1622-10,Pengurus Pengemasan Bilik
363,1622-13,Pengurus Pembentungan
364,1622-15,Penolong Pengurus Sisa Pepejal
365,1622-18,Pengurus Air Sisa
366,1622-23,Pengurus Loji Insinerator
367,1622-25,Pengurus Letak Kereta
368,1623,Pengurus Keselamatan
369,1623-01,Pengurus Keselamatan
370,1624,"Pengurus Pusat Kebudayaan, Muzium, Dan Perpustakaan"
371,1624-01,Pengurus Perpustakaan
372,1624-02,Pengurus Muzium
373,1624-04,Pengurus Kebudayaan
374,1624-06,Pengurus Perkhidmatan Pemulihan (Arkib)
375,1624-08,Pengurus Pentas
376,1624-09,Pengurus Wayang
377,1624-12,Pengurus Artis
378,1629,Pengurus Perkhidmatan Profesional Yang Tidak Dikelaskan Di Mana-Mana
380,21,Profesional Sains Dan Kejuruteraan
381,211,"Ahli Fizik, Kimia Dan Profesional Berkaitan"
382,2111,Ahli Fizik Dan Astronomi
383,2111-01,Ahli Fizik
384,2111-03,Ahli Aerodinamik
385,2111-23,Ahli Astronomi
386,2111-29,Angkasawan
387,2112,Ahli Meteorologi Dan Ahli Seismologi
388,2112-01,Pegawai Meteorologi Gred C41
389,2112-02,Ahli Meteorologi
390,2112-03,Ahli Klimatologi
391,2112-05,Ahli Meteorologi-Ramalan Cuaca
392,2112-06,Ahli Seismologi
393,2112-07,Jururamal Cuaca
394,2112-10,"Ahli Meteorologi, Alam Sekitar"
395,2112-11,"Ahli Meteorologi, Ramalan Cuaca Berangka"
396,2113,Ahli Kimia
397,2113-02,Ahli Kimia
398,2113-28,Ahli Geokimia
399,2113-40,Pakar Moringa
400,2114,Ahli Geologi Dan Geofizik
401,2114-02,Ahli Geologi
402,2114-11,Ahli Geologi Marin
403,2114-13,Ahli Oseanografi
404,2114-18,Ahli Geofizik Geomorfologi
405,2114-19,Ahli Geofizik Seismologi
406,2114-20,Ahli Geomagnet
407,2114-23,Ahli Hidrogeologi
408,2114-24,Ahli Hidrologi
409,2114-28,Ahli Paleontologi
410,2114-29,Ahli Stratigraf
411,2114-31,Ahli Geosains Petroleum
412,2114-32,Ahli Geosains
413,2114-34,Ahli Geologi Tapak
414,2114-36,Ahli Geologi Reservoir
415,2114-37,Ahli Geologi Struktur
416,2114-39,Ahli Oseanografi Fizik
417,2114-40,Interpreter Seismik
418,2114-41,Pakar Geologi
419,2114-42,Pakar Geofizik
420,2114-43,Pegawai Geosains Gred C41
421,2114-44,Geomekanik
422,2114-45,Sedementologist
423,212,"Ahli Matematik, Aktuari, Dan Perangkawan"
424,2121,"Ahli Matematik, Aktuari, Dan Perangkawan"
425,2121-01,Perangkawan Gred E41
426,2121-02,Ahli Matematik
427,2121-07,Perangkawan Tinjauan
428,2121-08,Ahli Biometrik
429,2121-09,Ahli Demografi
430,2121-11,Aktuari
431,2121-15,Ahli Metrologi
432,213,Profesional Sains Hayat
433,2131,"Profesional Biologi, Botani, Zoologi Dan Profesional Berkaitan"
434,2131-01,Pegawai Hidupan Liar Gred G41
435,2131-02,Ahli Imunologi
436,2131-03,Ahli Mikrobiologi
437,2131-04,Ahli Serologi
438,2131-08,Ahli Biologi
439,2131-17,Ahli Sitologi
440,2131-20,Ahli Botani
441,2131-27,Ahli Genetik
442,2131-38,Ahli Kultur Ikan
443,2131-51,Ahli Ekologi
444,2132,"Penasihat Perladangan, Pertanian, Perhutanan, Dan Perikanan"
445,2132-01,Pegawai Perikanan Gred G41
446,2132-02,Pemelihara Hutan Gred G41
447,2132-03,Pegawai Pertanian Gred G41
448,2132-04,Pegawai Rancangan Tanah Gred G41
449,2132-05,Pegawai Pertanian
450,2132-06,Penasihat Penanaman
451,2132-09,Pendemonstrasi Ladang
452,2132-10,Pegawai Perhutanan
453,2132-11,Pegawai Pemulihara Hutan
454,2132-13,Eksekutif Ladang Pertanian
455,2132-14,Eksekutif Akuakultur
456,2132-15,Eksekutif Perladangan
457,2133,Profesional Perlindungan Alam Sekitar
458,2133-01,Pegawai Kawalan Alam Sekitar Gred C41
459,2133-02,Ahli Agronomi
460,2133-04,Ahli Sains Pertanian
461,2133-05,Ahli Florikultur
462,2133-06,Ahli Hortikultur
463,2133-07,Ahli Olerikultur
464,2133-08,Ahli Pomologi
465,2133-09,Ahli Anatomi Kayu
466,2133-10,Ahli Arborikultur
467,2133-11,Ahli Pemulihara Tanih
468,2133-12,Ahli Sains Perhutanan
469,2133-13,Ahli Sains Tanih
470,2133-14,Ahli Silvikultur
471,2133-15,Juruanalisis Kayu
472,2133-16,Ahli Sains Haiwan
473,2133-17,Ahli Sains Penyelidikan Alam Sekitar
474,2133-18,Pegawai Pemulihara
475,2133-19,Ahli Sains Pemulihara
476,2133-20,Penasihat Alam Sekitar
477,2133-21,Juruaudit Alam Sekitar
478,2133-22,Konsultan Alam Sekitar
479,2133-23,Ahli Sains Semulajadi
480,2134,"Profesional Farmakologi, Patologi Dan Profesional Yang Berkaitan"
481,2134-02,Ahli Biokimia
482,2134-03,Ahli Biokimia Enzim
483,2134-04,Ahli Biokimia Klinikal
484,2134-05,Ahli Biokimia Protein
485,2134-06,Ahli Biokimia Steroid
486,2134-07,Ahli Kimia Biologi
487,2134-08,Ahli Biofizik
488,2134-09,Ahli Endokrinologi
489,2134-10,Ahli Fisiologi
490,2134-11,Ahli Fisiologi Endokrinologi
491,2134-12,Ahli Fisiologi Epidemiologi
492,2134-13,Ahli Fisiologi Haiwan
493,2134-14,Ahli Fisiologi Neurologi
494,2134-15,Ahli Fisiologi Tumbuhan
495,2134-16,Ahli Farmakologi
496,2134-17,Ahli Farmakologi Toksikologi
497,2134-18,Ahli Farmakologi Veterinar
498,2134-19,Ahli Toksikologi
499,2134-20,Ahli Histopatologi
500,2134-21,Ahli Neuropatologi
501,2134-22,Ahli Patologi
502,2134-23,Ahli Patologi Forensik
503,2134-24,Ahli Patologi Haiwan
504,2134-25,Ahli Patologi Histopatologi
505,2134-26,Ahli Patologi Klinikal
506,2134-27,Ahli Patologi Neuropatologi
507,2134-28,Ahli Patologi Pembedahan
508,2134-29,Ahli Patologi Perubatan
509,2134-30,Ahli Patologi Tumbuhan
510,2134-31,Ahli Patologi Veterinar
511,2134-32,Ahli Epidemiologi
512,2134-33,Pakar Bio-Fermentasi
513,2134-34,Ahli Farmasi Penyelidikan dan Pembangunan
514,2134-35,Pakar Pemeliharaan Lebah
515,2134-36,Pakar Embriologi
516,214,Profesional Kejuruteraan (Tidak Termasuk Elektroteknologi)
517,2141,Jurutera Industri Dan Pengeluaran
518,2141-01,Jurutera Automasi
519,2141-02,Jurutera Robotik
520,2141-03,Jurutera Perindustrian
521,2141-04,Jurutera Pengeluaran
522,2141-06,Juruanalisis Komunikasi
523,2141-09,Jurutera Perancangan
524,2141-10,Jurutera Sistem (Kecuali Komputer)
525,2141-11,Jurutera Pereka Sistem (Kecuali Komputer)
526,2141-13,Jurutera Kecekapan Perindustrian
527,2141-14,Jurutera Masa dan Gerakan
528,2141-15,Jurutera Penilaian Kos
529,2141-16,Ahli Teknologi Barangan Kulit
530,2141-17,Ahli Teknologi Kaca
531,2141-18,Ahli Teknologi Pembungkusan
532,2141-19,Ahli Teknologi Pencetakan
533,2141-20,Ahli Teknologi Seramik
534,2141-21,Ahli Teknologi Simen
535,2141-22,Ahli Teknologi Tekstil
536,2141-23,Ahli Teknologi Kayu
537,2141-24,Jurutera Loji
538,2141-26,Jurutera Reka bentuk Bungkusan Litar Bersepadu Analog (IC)
539,2141-27,Ahli Teknologi Perabot Lembut
540,2141-28,Ahli Teknologi Pengukiran
541,2141-30,Jurutera Pembungkusan
542,2141-32,Jurutera Keandalan
543,2141-33,Ketua Jurutera Pemodelan
544,2141-34,Ketua Jurutera Keandalan
545,2141-35,Juruteknologi Tenunan
546,2141-40,Perunding Fungsian Techno
547,2141-42,Jurutera Fotonik
548,2141-44,Jurutera SCADA
549,2141-51,Jurutera Kaji Selidik
550,2141-53,Penyelaras Kejuruteraan
551,2141-55,Jurutera Tenaga
552,2141-56,Jurutera Tenaga Baharu
553,2141-57,Jurutera Persekitaran
554,2141-58,Jurutera Tenaga Angin
555,2141-59,Juruaudit Tenaga
556,2141-60,Ahli Teknologi Industri 4.0
557,2141-63,Jurutera Pembuatan
558,2141-64,Jurutera Kilang Minyak
559,2141-68,Jurutera Proses
560,2141-69,Jurutera Bahan
561,2141-73,Jurutera Komponen
562,2141-74,Jurutera Perkakas
563,2141-76,Jurutera Pemeriksaan Optik Automatik (AOI)
564,2141-77,Jurutera Analisis Kegagalan (FA)
565,2141-79,Jurutera Mod Kegagalan dan Analisis Kesan (FMEA)
566,2142,Jurutera Awam
567,2142-01,Pegawai Eksekutif (Kejuruteraan) Gred 41
568,2142-02,Jurutera Gred J41
569,2142-03,Pegawai Eksekutif (Kejuruteraan) Gred L5
570,2142-04,Jurutera
571,2142-05,Ahli Teknologi
572,2142-06,Ahli Teknologi Kejuruteraan Awam
573,2142-07,Jurutera Awam
574,2142-08,Jurutera Tapak Bina
575,2142-36,Jurutera Reka bentuk Saliran
576,2142-38,Jurutera Lapisan Asas
577,2142-43,Jurutera Reka Bentuk Awam dan Struktur
578,2142-45,Juruukur Bahan Gred J41
579,2142-46,Juruukur Bangunan Gred J41
580,2142-47,Pegawai Eksekutif (Ukur Bangunan) Gred 41
581,2142-48,Juruukur Bahan
582,2142-51,Jurutera Bahan Pembinaan
583,2142-52,Jurutera Gred 23
584,2142-53,Juruukur Bahan Gred 23
585,2142-54,Juruukur Bangunan Gred 23
586,2142-56,Jurutera Gred J48
587,2142-57,Jurutera Perancang
588,2142-59,Jurutera Berdasarkan Pemantauan Keadaan (CBM)
589,2143,Jurutera Alam Sekitar
590,2143-01,Jurutera Alam Sekitar
591,2143-02,Jurutera Kumbahan dan Sanitasi
592,2143-04,Jurupemulihan Persekitaran
593,2143-05,Juruanalis Persekitaran
594,2144,Jurutera Mekanikal
595,2144-01,Ahli Teknologi Kejuruteraan Mekanikal
596,2144-02,Jurutera Mekanikal
597,2144-04,Jurutera Lif
598,2144-13,Orang Yang Kompeten (OYK) - Jurutera Enjin Pembakaran Dalam (IPD)
599,2144-21,Orang Yang Kompeten (OYK) - Jurutera Stim (JS)
600,2144-27,"Jurutera Mekanikal, Pesawat"
601,2144-36,Jurutera Kimpalan
602,2144-38,Jurutera Penyelenggaraan Mekanikal
603,2144-43,Juruteknologi Kejuruteraan
604,2144-49,Jurutera CAD atau CAM (Reka Bentuk dan Pembuatan Berbantu Komputer)
605,2144-58,Juruteknologi Robotik
606,2144-59,Jurutera Aeroangkasa
607,2144-61,Jurutera Statik
608,2144-63,Pengaturcara Robotik
609,2144-66,Jurutera Pengudaraan Lombong
610,2145,Jurutera Kimia
611,2145-03,Jurutera Kimia
