institution_id,institution_name,acronym,type,category,subcategory,School_Type,State,address,phone,url,subject_ba,subject_bc,subject_bi_muet,subject_bio,subject_bm,subject_bt,subject_che,subject_eko,subject_geo,subject_ict,subject_kmk,subject_l.eng,subject_mm,subject_mm/pp,subject_mt,subject_pa,subject_pakn,subject_phy,subject_pk,subject_pp,subject_sej,subject_ss,subject_sv,subject_sya,subject_tah,subject_usul
JEA0013,SMK Senggarang,,IPTA,Kolej Tingkatan 6,STPM Sastera,SMK,Johor,"Jalan Parit Jabar, Senggarang, 83200 Batu Pahat, Johor",07-4291675,,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
JEA0014,SMK Seri Medan,,IPTA,Kolej Tingkatan 6,STPM Sastera,SMK,Johor,"Jalan Parit Hj. Ariff, Seri Medan, 83400 Batu Pahat, Johor",07-4850243,,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
JEE0019,SMK Tun Ismail,,IPTA,Kolej Tingkatan 6,STPM Sastera,SMK,Johor,"Jalan Sekolah, 86400 Parit Raja, Johor",07-4541232,,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
JEE0018,SMK Tun Sardon,,IPTA,Kolej Tingkatan 6,STPM Sastera,SMK,Johor,"JKR 940, Jalan S.M.K. Tun Sardon, Rengit, 83100 Batu Pahat, Johor",07-4241020,,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
JEE0041,SMK Tunku Putra,,IPTA,Kolej Tingkatan 6,STPM Campuran,SMK,Johor,"KM 12, Jalan Besar, Tongkang Pechah, 83010 Batu Pahat, Johor",07-4151030,,0,0,1,1,1,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
JEE0040,SMK Yong Peng,,IPTA,Kolej Tingkatan 6,STPM Sains,SMK,Johor,"Jalan Ann Loh Yuen, Yong Peng, 83700 Batu Pahat, Johor",07-4671885,,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
JEB1001,Maktab Sultan Abu Bakar,,IPTA,Kolej Tingkatan 6,STPM Campuran,Maktab,Johor,"JKR 469 Jalan Sungai Chat, 80100 Johor Bahru, Johor",07-2222651,,0,0,1,1,1,0,1,1,1,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,0
JEB1003,SMK Aminudin Baki,,IPTA,Kolej Tingkatan 6,STPM Sastera,SMK,Johor,"Jalan Abdul Samad, 80100 Johor Bahru, Johor",07-2221293,,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
JEB1002,SMK Dato Jaafar,,IPTA,Kolej Tingkatan 6,STPM Campuran,SMK,Johor,"Jalan Yahya Aldatar, 80300 Johor Bahru, Johor",07-2221071,,0,0,1,1,0,0,1,1,1,0,0,0,1,0,1,1,1,1,0,0,1,0,0,0,0,0
JEE1004,SMK Gelang Patah,,IPTA,Kolej Tingkatan 6,STPM Sastera,SMK,Johor,"Gelang Patah, 81550 Gelang Patah, Johor",07-5101213,,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
JEA1059,SMK Mutiara Rini,,IPTA,Kolej Tingkatan 6,STPM Sastera,SMK,Johor,"Jalan Persiaran Utama, 81300 Skudai, Johor",07-5569845,,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
JEA1006,SMK Skudai,,IPTA,Kolej Tingkatan 6,STPM Sastera,SMK,Johor,"Taman Sri Skudai, 81300 Skudai, Johor",07-5563890,,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
JEA1001,SMK Sultan Ismail,,IPTA,Kolej Tingkatan 6,STPM Campuran,SMK,Johor,"Jalan Sek. Sultan Ismail, 80100 Johor Bahru, Johor",07-2216316,,0,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0
JEA1002,SMK Tasek Utara,,IPTA,Kolej Tingkatan 6,STPM Campuran,SMK,Johor,"Susur 7, Jalan Tun Abd Razak, 80350 Johor Bahru, Johor",07-2361806,,0,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0
JEB2037,SM Tinggi Kluang,,IPTA,Kolej Tingkatan 6,STPM Campuran,SM,Johor,"429, Jalan Sekolah, 86000 Kluang, Johor",07-7711037,,0,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,0
JEE2042,SMK Dato Hj Hasan Yunus,,IPTA,Kolej Tingkatan 6,STPM Campuran,SMK,Johor,"Jalan Sekolah, 86300 Rengam, Johor",07-7535264,,0,0,1,1,1,0,1,1,1,0,0,0,0,0,1,1,0,1,0,0,1,1,1,0,0,0
JEA2033,SMK Sultan Abdul Jalil,,IPTA,Kolej Tingkatan 6,STPM Sastera,SMK,Johor,"KM 5, Jalan Mersing, 86000 Kluang, Johor",07-7712734,,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0
JEA2036,SMK Taman Kluang Barat,,IPTA,Kolej Tingkatan 6,STPM Sastera,SMK,Johor,"Jalan Yule Catto, Taman Kluang Barat, 86000 Kluang, Johor",07-7727427,,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
JEA3045,SMK Adela,,IPTA,Kolej Tingkatan 6,STPM Sastera,SMK,Johor,"FELDA Adela, 81900 Kota Tinggi, Johor",07-8278340,,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
JEA3036,SMK Bandar Easter,,IPTA,Kolej Tingkatan 6,STPM Sastera,SMK,Johor,"Peti Surat 49, FELDA Easter, 81900 Kota Tinggi, Johor",07-8925822,,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
JEA3038,SMK Bandar Kota Tinggi,,IPTA,Kolej Tingkatan 6,STPM Sastera,SMK,Johor,"Peti Surat 78, 81907 Kota Tinggi, Johor",07-8832055,,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
JEA3043,SMK Bandar Mas,,IPTA,Kolej Tingkatan 6,STPM Sastera,SMK,Johor,"Jalan Cendana Utama, Bandar Mas, 81900 Kota Tinggi, Johor",07-8236500,,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
JEB3043,SMK Laksmana,,IPTA,Kolej Tingkatan 6,STPM Campuran,SMK,Johor,"Jalan Bukit Sri Lalang, Peti Surat 74, 81907 Kota Tinggi, Johor",07-8831303,,0,0,1,1,1,0,1,1,1,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,0
JEA3060,SMK Pengerang Utama,,IPTA,Kolej Tingkatan 6,STPM Sastera,SMK,Johor,"Persiaran Bayu Damai 2, Taman Bayu Damai, 81620 Pengerang, Johor",07-8263213,,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
JEA3039,SMK Tan Sri Jaafar Albar,,IPTA,Kolej Tingkatan 6,STPM Sastera,SMK,Johor,"Tanjung Sedili, 81910 Kota Tinggi, Johor",07-8918224,,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
JEA3037,SMK Tun Habab,,IPTA,Kolej Tingkatan 6,STPM Campuran,SMK,Johor,"Jalan Tajul, 81900 Kota Tinggi, Johor",07-8831026,,0,0,1,1,1,0,1,1,1,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0
JEA3057,SMK Bandar Tenggara Mod 3,,IPTA,Kolej Tingkatan 6,STPM Sastera,SMK,Johor,"Jalan Tun Abdul Jalil, 81440 Bandar Tenggara, Johor",07-8961037,,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0
JEE8001,SMK Sultan Ibrahim,,IPTA,Kolej Tingkatan 6,STPM Campuran,SMK,Johor,"Jalan Lengkongan, 81000 Kulai, Johor",07-6631303,,0,0,1,1,1,0,1,1,1,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0
JEB4044,SMK Seri Mersing,,IPTA,Kolej Tingkatan 6,STPM Campuran,SMK,Johor,"Peti Surat 10, Jalan Ismail, 86807 Mersing, Johor",07-7991150,,0,0,1,0,1,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0
JEA4034,SMK Tenggaroh,,IPTA,Kolej Tingkatan 6,STPM Sastera,SMK,Johor,"FELDA Tenggaroh 2, 86810 Mersing, Johor",07-7911272,,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0
JEE4036,SMK Ungku Husin,,IPTA,Kolej Tingkatan 6,STPM Sastera,SMK,Johor,"Jalan Haji Ariffin, 86900 Endau, Johor",07-7943234,,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
JEB5021,Sekolah Tinggi Muar,,IPTA,Kolej Tingkatan 6,STPM Campuran,Sekolah Tinggi,Johor,"Jalan Meriam, 84000 Muar, Johor",06-9521360,,0,0,1,1,1,0,1,1,1,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,0
JEB5025,SMK (P) Sultan Abu Bakar,,IPTA,Kolej Tingkatan 6,STPM Campuran,SMK,Johor,"Peti Surat 58, Jalan Abdul Rahman, 84007 Muar, Johor",06-9521261,,0,0,1,1,1,0,1,1,1,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0
JEA5022,SMK Dato Seri Amar Diraja,,IPTA,Kolej Tingkatan 6,STPM Campuran,SMK,Johor,"Jalan Tunku Bendahara, Kampung Dato' Sri Amar, 84000 Muar, Johor",06-9521472,,0,0,1,1,1,0,1,1,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0
JEA5032,SMK Pekan Baru,,IPTA,Kolej Tingkatan 6,STPM Sastera,SMK,Johor,"Pos Semerah, 83600 Semerah, Johor",07-4161221,,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
JEA5024,SMK Raja Muda,,IPTA,Kolej Tingkatan 6,STPM Sastera,SMK,Johor,"Peti Surat 3, Jalan Mahmood, 84150 Parit Jawa, Johor",06-9874242,,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
JEE5027,SMK Sultan Alauddin Riayat Shah 1,,IPTA,Kolej Tingkatan 6,STPM Sastera,SMK,Johor,"Pekan Pagoh, 84600 Muar, Johor",06-9746228,,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
JEE5023,SMK Tengku Mahkota,,IPTA,Kolej Tingkatan 6,STPM Sastera,SMK,Johor,"KM 5, Parit Raja, Jalan Temenggong Ahmad, 84000 Muar, Johor",06-9812781,,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
JEA5035,SMK Tun Dr Ismail,,IPTA,Kolej Tingkatan 6,STPM Sastera,SMK,Johor,"Bakri, 84200 Muar, Johor",06-9866260,,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
JEA5023,SMK Tun Perak,,IPTA,Kolej Tingkatan 6,STPM Sastera,SMK,Johor,"KM 4, Jalan Salleh, 84000 Muar, Johor",06-9521771,,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
JEE1005,SMK Dato Penggawa Timur,,IPTA,Kolej Tingkatan 6,STPM Campuran,SMK,Johor,"KM 24, Jalan Besar Masai, 81750 Masai, Johor",07-2511035,,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,0
JEA1047,SMK Pasir Gudang 2,,IPTA,Kolej Tingkatan 6,STPM Sastera,SMK,Johor,"Jalan Mawar Putih, Taman Mawar, 81700 Pasir Gudang, Johor",07-2523955,,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0
JEA1053,SMK Taman Daya,,IPTA,Kolej Tingkatan 6,STPM Campuran,SMK,Johor,"Jalan Rumbia 39, Taman Daya, 81100 Johor Bahru, Johor",07-3514378,,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0
JEA1045,SMK Taman Johor Jaya 1,,IPTA,Kolej Tingkatan 6,STPM Campuran,SMK,Johor,"Jalan Bakawali 75, Taman Johor Jaya, 81100 Johor Bahru, Johor",07-3546651,,0,0,1,1,1,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,0,1,0,0,0
JEE1011,SMK Ulu Tiram,,IPTA,Kolej Tingkatan 6,STPM Sastera,SMK,Johor,"Wakil Pos Ulu Tiram, 81800 Ulu Tiram, Johor",07-8611178,,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
JEA6013,Kolej Tingkatan Enam Pontian,,IPTA,Kolej Tingkatan 6,STPM Campuran,Kolej Tingkatan 6,Johor,"PTD15944 Mukim Pontian, 82000 Pontian, Johor",07-6860159,,0,0,1,1,1,0,1,1,1,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,0,0
JEE6017,SMK Benut,,IPTA,Kolej Tingkatan 6,STPM Campuran,SMK,Johor,"Jalan Jaafar, 82200 Benut, Johor",07-6903254,,0,0,1,1,1,0,1,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,0,0
JEA6010,SMK Dato Mohd Yunos Sulaiman,,IPTA,Kolej Tingkatan 6,STPM Sastera,SMK,Johor,"Jalan Sawah, 81500 Pekan Nanas, Johor",07-6991831,,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
JEA6007,SMK Sri Kukup,,IPTA,Kolej Tingkatan 6,STPM Sastera,SMK,Johor,"Kukup, 82300 Kukup, Johor",07-6960219,,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
JEB7029,Sekolah Tinggi Segamat,,IPTA,Kolej Tingkatan 6,STPM Campuran,Sekolah Tinggi,Johor,"JKR 106, Jalan Sekolah, 85000 Segamat, Johor",07-9312472,,0,0,1,1,1,0,1,1,0,0,0,0,1,0,1,1,0,1,0,0,1,0,1,0,0,0
JEE7037,SMK Chaah,,IPTA,Kolej Tingkatan 6,STPM Sastera,SMK,Johor,"Jalan Kampung Jawa Baru, Chaah, 85400 Chaah, Johor",07-9261133,,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
JEA7032,SMK Dato' Bentara Dalam,,IPTA,Kolej Tingkatan 6,STPM Sastera,SMK,Johor,"KM 3, Jalan Genuang, 85000 Segamat, Johor",07-9433250,,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0
JEB7032,SMK Labis,,IPTA,Kolej Tingkatan 6,STPM Campuran,SMK,Johor,"Jalan Muar, 85300 Labis, Johor",07-9251306,,0,0,1,1,1,0,1,1,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0
JEE7033,SMK Munshi Ibrahim,,IPTA,Kolej Tingkatan 6,STPM Sastera,SMK,Johor,"JKR 484 Jalan Sekolah, 85300 Labis, Johor",07-9251600,,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
JEA7035,SMK Palong Timur,,IPTA,Kolej Tingkatan 6,STPM Sastera,SMK,Johor,"Jalan Seri Tanjung, 85100 Batu Anam, Johor",06-4668203,,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
JEB7030,SMK Seg Hwa,,IPTA,Kolej Tingkatan 6,STPM Sains,SMK,Johor,"Jalan Tahang Rimau, 85000 Segamat, Johor",07-9311235,,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
JEA9010,SMK Bukit Gambir Mod 3,,IPTA,Kolej Tingkatan 6,STPM Sastera,SMK,Johor,"Kampung Sungai Jaya, 84800 Bukit Gambir, Johor",06-9761050,,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
JEA9009,SMK Ledang,,IPTA,Kolej Tingkatan 6,STPM Campuran,SMK,Johor,"Jalan Sialang, 84900 Tangkak, Johor",06-9781266,,0,0,1,1,1,0,1,1,1,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,0
JEA9005,SMK Parit Bunga,,IPTA,Kolej Tingkatan 6,STPM Sastera,SMK,Johor,"KM 5, Parit Bunga, 84000 Tangkak, Johor",06-9522957,,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
JEA9001,SMK Tengku Mahmud Iskandar,,IPTA,Kolej Tingkatan 6,STPM Sastera,SMK,Johor,"Batu 8, Sungai Mati, 84400 Ledang, Johor",06-9751066,,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
JEA9002,SMK Tengku Temenggong Ahmad,,IPTA,Kolej Tingkatan 6,STPM Sastera,SMK,Johor,"Kundang Ulu, 84710 Kundang Ulu, Johor",06-9728488,,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
KEA0035,SMK Baling,,IPTA,Kolej Tingkatan 6,STPM Campuran,SMK,Kedah,"Jalan Kulim Baling, 09100 Baling, Kedah",04-4701218,,0,0,1,1,1,0,1,1,1,1,1,0,0,0,1,1,0,1,0,0,1,0,1,1,0,0
KEE0038,SMK Kuala Ketil,,IPTA,Kolej Tingkatan 6,STPM Sastera,SMK,Kedah,"Batu Pekaka, 09300 Kuala Ketil, Kedah",04-4434251,,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
KEE0039,SMK Kuala Pegang,,IPTA,Kolej Tingkatan 6,STPM Sastera,SMK,Kedah,"Kuala Pegang, 09110 Baling, Kedah",04-4765230,,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0
KEB2096,Kolej Sultan Abdul Hamid,,IPTA,Kolej Tingkatan 6,STPM Campuran,Kolej,Kedah,"Jalan Langgar, 05460 Alor Setar, Kedah",04-7332300,,0,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0
KEA2186,Kolej Tingkatan Enam Sultan Sallehuddin,,IPTA,Kolej Tingkatan 6,STPM Campuran,Kolej Tingkatan 6,Kedah,"Jalan Hutan Kampong, 05350 Alor Star, Kedah",04-7203381,,0,0,1,1,1,0,1,1,1,0,0,0,1,0,1,1,1,1,0,0,1,1,1,0,0,0
KEB2094,SMJK Keat Hwa,,IPTA,Kolej Tingkatan 6,STPM Sains,SMJK,Kedah,"Jalan Kuala Kedah, 05400 Alor Setar, Kedah",04-7722053,,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
KEEB001,SMK Pokok Sena,,IPTA,Kolej Tingkatan 6,STPM Sastera,SMK,Kedah,"Jalan Panchor, 06400 Pokok Sena, Kedah",04-7821237,,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
KEA2094,SMK Seberang Perak,,IPTA,Kolej Tingkatan 6,STPM Sastera,SMK,Kedah,"Jalan Teratai Putih, Taman Berjaya, 05050 Alor Setar, Kedah",04-7771709,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
KEE2108,SMK Tengku Laksamana,,IPTA,Kolej Tingkatan 6,STPM Sastera,SMK,Kedah,"Jalan Kuala Kedah, 06600 Alor Setar, Kedah",04-7716482,,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
KEE2107,SMK Tun Sharifah Rodziah,,IPTA,Kolej Tingkatan 6,STPM Sastera,SMK,Kedah,"Jalan Kuala Kedah, 05400 Alor Setar, Kedah",04-7711102,,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
KEE2100,SMK Tunku Abdul Malik,,IPTA,Kolej Tingkatan 6,STPM Sastera,SMK,Kedah,"Alor Merah, 05250 Alor Star, Kedah",04-7319358,,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
KEE2104,SMK Tunku Abd. Aziz,,IPTA,Kolej Tingkatan 6,STPM Sastera,SMK,Kedah,"Simpang Empat, 06650 Alor Setar, Kedah",04-7641213,,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
KEA3111,SMK Aman Jaya,,IPTA,Kolej Tingkatan 6,STPM Sains,SMK,Kedah,"Sungai Lalang, 08000 Sungai Petani, Kedah",04-4581996,,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
KEA3109,SMK Bandar Sungai Petani,,IPTA,Kolej Tingkatan 6,STPM Sastera,SMK,Kedah,"Jalan Pahlawan, 08000 Sungai Petani, Kedah",04-4216257,,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
KEE3052,SMK Bedong,,IPTA,Kolej Tingkatan 6,STPM Sastera,SMK,Kedah,"Bedong, 08100 Bedong, Kedah",04-4581272,,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
KEE3053,SMK Che Tom,,IPTA,Kolej Tingkatan 6,STPM Sastera,SMK,Kedah,"Jalan Bakar Arang, 08000 Sungai Petani, Kedah",04-4252182,,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
KEB3047,SMK Dato Bijaya Setia,,IPTA,Kolej Tingkatan 6,STPM Campuran,SMK,Kedah,"Jalan Kuala Ketil, 08000 Sungai Petani, Kedah",04-4212308,,0,0,1,0,1,0,1,1,0,0,0,0,1,0,1,1,1,1,0,0,1,0,0,0,0,0
KEB3049,SMK Ibrahim,,IPTA,Kolej Tingkatan 6,STPM Campuran,SMK,Kedah,"Jalan Kolam Ayer, 08000 Sungai Petani, Kedah",04-4212633,,0,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0
KEA3046,SMK Khir Johari,,IPTA,Kolej Tingkatan 6,STPM Campuran,SMK,Kedah,"Jalan Pengkalan, 08000 Sungai Petani, Kedah",04-4212648,,0,0,1,1,1,0,1,1,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0
KEA3107,SMK Kota Kuala Muda,,IPTA,Kolej Tingkatan 6,STPM Sastera,SMK,Kedah,"Jalan Pantai Merdeka, 08500 Kota Kuala Muda, Kedah",04-4374224,,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
KEE3055,SMK Merbok,,IPTA,Kolej Tingkatan 6,STPM Sastera,SMK,Kedah,"Merbok, 08400 Merbok, Kedah",04-4572078,,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
KEB3051,SMK Sin Min,,IPTA,Kolej Tingkatan 6,STPM Sains,SMK,Kedah,"Jalan Pegawai, 08000 Sungai Petani, Kedah",04-4212623,,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
KEB3050,SMK St Theresa,,IPTA,Kolej Tingkatan 6,STPM Sastera,SMK,Kedah,"Jalan Kolam Air, 08000 Sungai Petani, Kedah",04-4212266,,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
