institution_id,institution_name,acronym,type,category,subcategory,State,address,phone,url,latitude,longitude,DUN,Parliament,Indians,Indians %,Ave. Income
IKBN-012,IKBN Naka,IKBNN,IPTA,ILKBS,IKBN,Kedah,"Mukim Tekai, Pekan Naka, Kedah",04-7993000,https://kemahiran.kbs.gov.my/ikbnnaka.html,6.129616037,100.6709661,N08 Pedu,P007 Padang Terap,30,0.1,4222
IKBN-013,IKBN Jitra,IKBNJ,IPTA,ILKBS,IKBN,Kedah,"Km 23, Jalan Changloon, 06000 Jitra, Kedah",04-9174676,https://kemahiran.kbs.gov.my/ikbnjitra.html,6.30188568,100.4198359,N06 Jitra,P006 Kubang Pasu,2963,3.2,7300
IKBN-014,IKBN Kuala Perlis,IKBNKP,IPTA,ILKBS,IKBN,Perlis,"Jalan Bukit Kubu, 02000 Kuala Perlis, Perlis",04-9855985,https://kemahiran.kbs.gov.my/ikbnkualaperlis.html,6.399954736,100.14433,N09 Kuala Perlis,P002 Kangar,38,0.2,5129
IKBN-015,IKBN Tanah Merah,IKBNTM,IPTA,ILKBS,IKBN,Kelantan,"Jalan Bukit Panau, Tanah Merah, Kelantan",09-9509900,https://kemahiran.kbs.gov.my/ikbntanahmerah.html,5.8768225,102.155174,N26 Bukit Panau,P027 Tanah Merah,66,0.1,5088
IKBN-016,IKBN Wakaf Tapai,IKBNWT,IPTA,ILKBS,IKBN,Terengganu,"Km 24, Jalan Kuala Terengganu-Kuala Berang, 21040, Marang, Terengganu",09-6806000,https://kemahiran.kbs.gov.my/ikbnwakaftapai.html,5.150126686,103.0800173,N20 Pengkalan Berangan,P037 Marang,0,0,5306
IKBN-017,IKBN Kemasik,IKBNK,IPTA,ILKBS,IKBN,Terengganu,"Km 19, Jalan Kemaman-Dungun, 24200 Kemasik Kemaman, Terengganu",09-8664500,https://kemahiran.kbs.gov.my/ikbnkemasik.html,4.4352949,103.4515704,N29 Kemasik,P040 Kemaman,37,0.1,10913
IKBN-018,IKBN Pekan,IKBNPE,IPTA,ILKBS,IKBN,Pahang,"Km 55, Jalan Kuantan-Segamat, 26650 Pekan, Pahang",09-4514888,https://kemahiran.kbs.gov.my/ikbnpekan.html,3.4696874,103.0966946,N23 Chini,P085 Pekan,41,0.2,5587
IKBN-019,IKBN Bandar Penawar,IKBNBP,IPTA,ILKBS,IKBN,Johor,"Jalan Kejora Utama, 81930 Bandar Penawar, Johor",07-8221567,https://kemahiran.kbs.gov.my/ikbnbandarpenawar.html,1.5788577,104.210287,N38 Penawar,P157 Pengerang,193,0.5,7520
IKBN-020,IKBN Kinarut,IKBNKE,IPTA,ILKBS,IKBN,Sabah,"Jalan Limau Limauan, Kinarut, Sabah",088-755929,https://kemahiran.kbs.gov.my/ikbnkinarut.html,5.8041235,116.0247526,N28 Kawang,P175 Papar,47,0.1,5762
IKBN-021,IKBN Miri,IKBNM,IPTA,ILKBS,IKBN,Sarawak,"Jalan Permyjaya Utama, Bandar Baru Permyjaya, 98000 Miri, Sarawak",085-660714,https://kemahiran.kbs.gov.my/ikbnmiri.html,4.4523801,114.0439374,N75 Senadin,P219 Miri,366,0.3,7432
IJTM-001,Institut Teknikal Jepun Malaysia,JMTI,IPTA,ILJTM,JMTI,Pulau Pinang,"59, Lorong Perindustrian Bukit Minyak 15, Kawasan Perindustrian Bukit Minyak, 14100 Simpang Ampat, Pulau Pinang",604-5087800,https://www.jmti.gov.my,5.304281979,100.4465921,N17 Bukit Tengah,P046 Batu Kawan,7205,13.7,8140
IJTM-002,ADTEC JTM Kampus Kuala Lumpur,ILPKL,IPTA,ILJTM,ILP,WP Kuala Lumpur,"Jalan Kuchai Lama, 58200 Kuala Lumpur, WP Kuala Lumpur",03-79817495 / 7496,https://www.ilpkl.gov.my,3.092811177,101.6872901,P122 Seputeh,P122 Seputeh,34816,11.2,13489
IJTM-003,ADTEC JTM Kampus Ipoh,ILPIPOH,IPTA,ILJTM,ILP,Perak,"Kawasan Perindustrian Taman Meru, 30020 Ipoh, Perak",05-5277777 / 5597,https://www.ilpipoh.gov.my,4.646943,101.0713851,N23 Manjoi,P063 Tambun,13753,10,6669
IJTM-004,ADTEC JTM Kampus Taiping,ILPTAIPING,IPTA,ILJTM,ADTEC,Perak,"PT 15643, Kamunting Raya, Mukim Asam Kumbang, 34600 Kamunting, Taiping, Perak",05-8012601,https://www.adtectaiping.gov.my,4.865426082,100.7010548,N13 Kuala Sepetang,P059 Bukit Gantang,3133,7.2,4312
IJTM-005,ADTEC JTM Kampus Serian,ILPSERIAN,IPTA,ILJTM,ILP,Sarawak,"Lot 2262, Off Jalan Rahun Debak, 94700 Serian, Sarawak",082-874000,https://adtecserian.gov.my/,1.165743135,110.5621614,N23 Bukit Semuja,P199 Serian,43,0.2,6042
IJTM-006,ADTEC JTM Kampus Jerantut,ILPJERANTUT,IPTA,ILJTM,ADTEC,Pahang,"Km 9, Jalan Jerantut Temerloh, 27000 Jerantut, Pahang",09-2663391,https://www.adtecjerantut.gov.my/v5/,3.8101799,102.3728017,N11 Pulau Tawar,P081 Jerantut,202,0.7,4072
IJTM-007,ADTEC JTM Kampus Kuala Langat,ILPLANGAT,IPTA,ILJTM,ILP,Selangor,"Jalan Sultan Abdul Samad, 42700 Banting, Selangor",03-31204600,https://www.ilpkls.gov.my,2.8116219,101.4910423,N52 Banting,P112 Kuala Langat,10990,20.8,7609
IJTM-008,ADTEC JTM Kampus Perai,ILPPERAI,IPTA,ILJTM,ILP,Pulau Pinang,"Lorong Perusahaan Satu, Kawasan Perusahaan Perai, 13600 Perai, Pulau Pinang",04-3907269 / 7335,https://www.ilpperai.gov.my,5.374675204,100.3894279,N16 Perai,P046 Batu Kawan,6792,29.9,7751
IJTM-009,ADTEC JTM Kampus Kepala Batas,ILPKB,IPTA,ILJTM,ILP,Pulau Pinang,"Lot 2022, Jalan Tun Hamdan Sheikh Tahir, 13200 Kepala Batas, Pulau Pinang",04-5776100,https://www.ilpkbpp.gov.my,5.5177311,100.4454562,N02 Bertam,P041 Kepala Batas,1313,5.6,6237
IJTM-010,ADTEC JTM Kampus Selandar,ILPSELANDAR,IPTA,ILJTM,ILP,Melaka,"Lot 1468, Jalan Batang Melaka, 77500 Selandar, Melaka",06-5303000,https://www.ilpselandar.gov.my,2.4346437,102.3993933,N10 Asahan,P135 Alor Gajah,1500,9.9,6197
IJTM-011,ADTEC JTM Kampus Mersing,ILPMERSING,IPTA,ILJTM,ILP,Johor,"Km 16, Jalan Jemaluang, 86800 Mersing, Johor",07-7921700 / 1701,https://www.ilpmsg.gov.my,2.4243256,103.83595,N33 Tenggaroh,P154 Mersing,629,1.5,5445
IJTM-012,ADTEC JTM Kampus Kota Samarahan,ILPSAMARAHAN,IPTA,ILJTM,ILP,Sarawak,"Lot 249, Blok 14, Sarawak Natural Resource Park, 94300 Kota Samarahan, Sarawak",082-465100,https://www.ilpks.gov.my,1.492970826,110.4105965,N17 Stakan,P197 Kota Samarahan,364,0.5,7100
IJTM-013,ADTEC JTM Kampus Kota Kinabalu,ILPKINABALU,IPTA,ILJTM,ILP,Sabah,"Jalan 3, KKIP Selatan, 88460 Kota Kinabalu, Sabah",088-499825,https://www.ilpkk.gov.my,6.079210481,116.1560855,N16 Karambunai,P171 Sepanggar,655,0.5,6874
IJTM-014,ADTEC JTM Kampus Sandakan,ILPSANDAKAN,IPTA,ILJTM,ILP,Sabah,"Batu 5, Jalan Sibuga, 90000 Sandakan, Sabah",089-240500,https://www.ilpsdk.gov.my,5.8291803,118.0783705,N54 Karamunting,P185 Batu Sapi,123,0.6,4641
IJTM-015,ADTEC JTM Kampus Marang,ILPMARANG,IPTA,ILJTM,ILP,Terengganu,"Kampung Bukit Parit, 21600 Marang, Terengganu",09-6189000,https://www.ilpmrg.gov.my,5.149171645,103.157633,N20 Pengkalan Berangan,P037 Marang,0,0,5306
IJTM-016,ADTEC JTM Kampus Nibong Tebal,ILPTEBAL,IPTA,ILJTM,ILP,Pulau Pinang,"Jalan Bukit Panchor, 14300 Nibong Tebal, Pulau Pinang",04-5956000,https://www.ilpapnt.gov.my,5.1722495,100.4797482,N19 Jawi,P047 Nibong Tebal,8817,24.1,6292
IJTM-017,ADTEC JTM Kampus Kangar,ILPKANGAR,IPTA,ILJTM,ILP,Perlis,"Padang Behor Mukim Sena, 01000 Kangar, Perlis",04-9777400,https://www.ilpkangar.gov.my,6.427577179,100.2117206,N07 Sena,P002 Kangar,630,3.2,6598
IJTM-018,ADTEC JTM Kampus Bukit Katil,ADTECJTMKBK,IPTA,ILJTM,ILP,Melaka,"Lot 4345, Jalan Tun Telani, Mukim Bukit Katil, Hang Tuah Jaya, 75450 Ayer Keroh, Melaka",06-2320600,https://www.ilpmelaka.gov.my,2.240626485,102.2997595,N17 Bukit Katil,P137 Hang Tuah Jaya,2010,4.1,10616
IJTM-019,ADTEC JTM Kampus Pedas,ILPPEDAS,IPTA,ILJTM,ILP,Negeri Sembilan,"Jalan Pedas Linggi, 71400 Pedas, Negeri Sembilan",06-6853854 / 57 / 58,https://www.ilppedas.gov.my,2.6052494,102.0501437,N26 Chembong,P131 Rembau,2833,8.8,5771
IJTM-020,ADTEC JTM Kampus Tangkak,ILPTANGKAK,IPTA,ILJTM,ILP,Johor,"Km 43, Jalan Segamat, Sagil, 84900 Tangkak, Johor",06-9773800,https://www.ilptangkak.gov.my,2.2995527,102.5999134,N09 Gambir,P144 Ledang,1965,5.3,6151
IJTM-021,ADTEC JTM Kampus Pasir Gudang,ILPGUDANG,IPTA,ILJTM,ILP,Johor,"Jalan Gangsa, Kawasan Perindustrian Pasir Gudang, 81700 Pasir Gudang, Johor",07-2544170,https://www.ilppg.gov.my,1.4534815,103.9059027,N43 Permas,P159 Pasir Gudang,14331,7.6,7893
IJTM-022,ADTEC JTM Kampus Senai,ILPSENAI,IPTA,ILJTM,ILP,Johor,"10, Jalan Persiaran Teknologi, Taman Teknologi Johor, 81400 Senai, Johor",07-2544170,https://www.ilppg.gov.my,1.57695147,103.6484384,N52 Senai,P163 Kulai,9823,10.7,7772
IJTM-023,ADTEC JTM Kampus Miri,ILPMIRI,IPTA,ILJTM,ILP,Sarawak,"Lot 3226, Blok 6, Mukim Bandar Baru Permy Jaya, 98100 Miri, Sarawak",085-644384,https://www.ilpmiri.gov.my,4.494818473,114.0419488,N75 Senadin,P219 Miri,366,0.3,7432
IJTM-024,ADTEC JTM Kampus Labuan,ILPLABUAN,IPTA,ILJTM,ILP,WP Labuan,"Jalan Mohd Salleh, P.O. Box 80849, 87018 Labuan, WP Labuan",087-414911 / 7745,https://www.ilplabuan.gov.my,5.310101369,115.2276313,P166 Labuan,P166 Labuan,891,1.1,8319
IJTM-025,ADTEC JTM Kampus Bintulu,ILPBINTULU,IPTA,ILJTM,ADTEC,Sarawak,"Lot 903, PL957, Blok 37, Jln Bintulu-Sibu 97000, Bintulu, Sarawak",086-310111,https://www.adtecbintulu.my,3.125395397,113.0644409,N67 Jepak,P217 Bintulu,0,0,4986
IJTM-026,ADTEC JTM Kampus Shah Alam,ILPALAM,IPTA,ILJTM,ADTEC,Selangor,"No. 5934-1, Jalan Bukit Kemuning, Seksyen 32, 40460 Shah Alam, Selangor",03-51675888,https://www.adtecsa.gov.my,3.011086148,101.5101342,N49 Sungai Kandis,P111 Kota Raja,15367,10.7,11051
IJTM-027,ADTEC JTM Kampus Kulim,ILPKULIM,IPTA,ILJTM,ADTEC,Kedah,"Lot 635, Jalan Mahang, 09700 Karangan, Kulim, Kedah",04-4042975,https://www.adteckulim.gov.my,5.336026585,100.7463851,N35 Kulim,P018 Kulim-Bandar Baharu,10660,14.7,6126
IJTM-028,ADTEC JTM Kampus Jitra,ILPJITRA,IPTA,ILJTM,ILP,Kedah,"Bandar Darulaman, 06000 Jitra, Kedah",04-9161926,https://www.ilpjitra.gov.my,6.2436651,100.4203644,N06 Jitra,P006 Kubang Pasu,2963,3.2,7300
IJTM-029,ADTEC Melaka,ILPMELAKA,IPTA,ILJTM,ADTEC,Melaka,"Bandar Vendor Taboh Naning, 78000 Alor Gajah, Melaka",06-5527227,https://www.adtecmlk.gov.my,2.4596408,102.1691818,N05 Taboh Naning,P134 Masjid Tanah,867,5.2,5706
IJTM-030,ADTEC JTM Kampus Batu Pahat,ILPPAHAT,IPTA,ILJTM,ADTEC,Johor,"Km 8, Jalan Tanjung Laboh, 83000 Batu Pahat, Johor",07-4287722 / 7733,https://www.adtecbp.gov.my,1.8395453,102.9448473,N23 Penggaram,P150 Batu Pahat,1512,1.7,7483
IJTM-031,ADTEC JTM Kampus Kemaman,ILPKEMAMAN,IPTA,ILJTM,ADTEC,Terengganu,"Payoh, 24210 Kemasik,Terengganu",09-8664000,https://www.adteckmn.gov.my,4.376211565,103.3932633,N30 Kijal,P040 Kemaman,50,0.1,7908
IJTM-032,ADTEC JTM Kampus Kuantan,ILPKUANTAN,IPTA,ILJTM,ILP,Pahang,"Lot 10, Kawasan Perindustrian Gebeng, 26080 Kuantan, Pahang",09-5861660,https://www.ilpkuantan.gov.my,3.966279194,103.3742651,N12 Beserah,P082 Indera Mahkota,2348,2.1,6581
IJTM-033,ADTEC JTM Kampus Kuala Terengganu,ILPTERENGGANU,IPTA,ILJTM,ILP,Terengganu,"Kawasan Perindustrian Gong Badak, 21300 Kuala Terengganu, Terengganu",09-6652100,https://www.ilpkt.gov.my,5.395164717,103.0754548,N09 Tepuh,P035 Kuala Nerus,190,0.4,8166
IJTM-034,ADTEC JTM Kampus Kota Bharu,ILPBHARU,IPTA,ILJTM,ILP,Kelantan,"Pengkalan Chepa, 16100 Kota Bharu, Kelantan",09-7742448,https://www.ilpkb.gov.my,6.172658,102.293098,N06 Chempaka,P020 Pengkalan Chepa,241,0.5,5383
